glottocode	longitude	latitude	UV_305_mean	UV_305_sd	UV_310_mean	UV_310_sd	UV_325_mean	UV_325_sd	UV_380_mean	UV_380_sd	UV_A_mean	UV_A_sd	UV_B_mean	UV_B_sd	UV_mean	UV_sd
abua1244	6.615	4.831	97.4029304029304	16.0151212617397	136.03663003663	20.9738662404475	443.89010989011	62.0244467723361	790.47619047619	112.378007308417	617.18315018315	195.725288128056	116.71978021978	26.8585191027349	366.951465201465	286.653599956731
acol1236	32.515	3.577	92.8722627737226	19.1963566061118	130.105839416058	25.7452958580128	425.598540145985	80.5922636789288	756.481751824817	148.16217736425	591.040145985401	204.006206293324	111.489051094891	29.3587447709801	351.264598540146	280.652194227281
ainu1240	142.462	43.634	27.2432835820896	20.7643235598558	52.7591044776119	33.2631240017728	235.89552238806	117.480962189186	439.301492537313	215.325714491138	337.598507462687	200.991194798202	40.0011940298507	30.5066333310802	188.799850746269	206.89659451399
alba1267	20	41	28.6789156626506	20.4203612924975	54.7298192771084	31.4759196688591	241.939759036145	105.620205358644	447.987951807229	191.012787662965	344.963855421687	185.512266723449	41.7043674698795	29.5418178266721	193.334111445783	201.592086446426
alge1239	3.23	35.421	39.8318885448916	23.6106475052013	70.0826625386997	34.0943012173232	286.866873065015	118.718405742038	526.752321981424	215.938355202815	406.80959752322	211.478617243341	54.9572755417957	32.9809158067137	230.883436532508	232.081275737741
amha1245	39.543	11.708	86.6520295202952	18.5871397580238	123.752767527675	24.5820195825499	413.619926199262	76.0197306843945	738.118081180812	138.046425650297	575.869003690037	196.896867734328	105.202398523985	28.6138639561773	340.535701107011	274.241114582394
anga1288	93.867	25.684	64.9893333333333	24.0849920565367	100.99	31.6655267646739	369.276666666667	104.561611298859	669.77	187.430300356263	519.523333333333	213.553087054577	82.9896666666667	33.3860440871412	301.2565	266.496596108714
mesc1238	254.434	33.129	57.7776729559748	30.4272318818793	95.1147798742138	40.0622567772984	364.654088050314	120.824950283438	650.528301886792	207.497445883585	507.591194968553	221.911522805476	76.4462264150943	40.1555899354058	292.018710691824	268.172798453897
stan1318	43.853	27.963	54.9705882352941	18.747916631282	90.3235294117647	24.2443145667987	342.02614379085	80.2402905795711	621.503267973856	143.283606154242	481.764705882353	181.717096890206	72.6470588235294	27.9613295245797	277.205882352941	242.417360581038
nucl1235	45	40	30.0828828828829	20.7349039608666	57.1498498498499	31.3487203334307	250.630630630631	107.12321989028	464.57957957958	195.319564695488	357.605105105105	190.357539109181	43.6163663663664	29.8112006907886	200.610735735736	207.880143031089
assa1263	91.293	26.088	61.3594155844156	25.4025276830213	96.550974025974	34.1279537962437	355.636363636364	114.179230396052	645.922077922078	205.448457835386	500.779220779221	220.632660069794	78.9551948051948	34.8374245866698	289.867207792208	263.526008247581
assy1241	43	36.75	36.8876876876877	22.0197008941637	66.8267267267267	31.2596959479684	280.468468468468	104.875785950197	517.06006006006	188.940632599196	398.764264264264	193.206041365908	51.8572072072072	30.8924282132432	225.310735735736	221.891432283607
