glottocode	clim_PC1	clim_PC2	clim_PC3	latitude	longitude
abkh1242	1.32418891397057	-2.28715271098263	0.68753220182664	43.06	41.16
abua1244	-4.45652552242029	-1.15918785920089	0.0487155772629425	4.831	6.615
acol1236	-2.02839408725593	1.4377549584724	1.8109700119694	3.577	32.515
afro1255	-2.76056726667917	1.31735765645954	0.382870375459269	8.67	8.08
ainu1240	3.51510558684669	-1.43218028498769	-0.908466446398372	43.634	142.462
ainu1252	3.51510558684669	-1.43218028498769	-0.908466446398372	43.63	142.46
alba1267	1.32158167684982	-0.417202949623954	0.973811879936567	41	20
alge1239	2.02689441588372	1.01649080328521	1.73137483447067	35.421	3.23
amha1245	0.157751254526404	0.73574322173832	0.295779367307358	11.708	39.543
anga1288	-1.25866812499532	0.502092358148914	-1.62832223547109	25.684	93.867
araw1281	-5.59554329477359	-4.4196029014467	0.84069015232839	1	290.83
assa1263	-2.40395693794992	0.526562650481714	-2.71409872149336	26.088	91.293
assy1241	1.1246050045168	2.60488335976384	0.49189907435537	36.75	43
atha1245	4.69250994758444	-0.862154593005473	0.333258467887822	53.75	236.5
atla1278	-2.93783271042153	1.492699775844	0.349756124154254	8.75	8.25
aust1305	-2.35086167349254	2.02684170670298	0.0900968028844926	14.83	100.5
aust1307	-1.67088867870791	-1.5613726868709	-2.38429719762102	23.76	120.98
awng1244	-1.60866052532598	-0.256362675920413	0.27281296552848	10.982	36.692
ayma1253	2.70639401244607	0.0358594253090891	0.93529498656261	-17	291.5
basq1248	1.20124546507042	-1.82899688789901	1.29067720006034	43.28	-1.32
bela1254	3.64269165542647	-1.14541409789378	-0.155882086645973	53.231	25.604
bhil1251	-1.17537116146931	2.84494436165509	-0.620103877865944	20.85	73.959
biet1238	-2.30314764426572	-0.325183715026045	-2.79568987198062	24.274	92.943
bulg1262	2.72683761687414	-0.107889723211102	0.24199519117811	43.365	25.047
carn1240	-3.90030948402009	-0.928187337172315	0.660992394989145	9.189	92.767
cent2127	5.20583206371922	-1.5636996275781	-0.631986445121946	60.306	198.514
cent2132	0.331361625936303	1.30259737304282	0.894497855125886	19.125	261.7
cent2142	2.70639401244607	0.0358594253090891	0.93529498656261	-17	291.5
cent2150	-5.7569220762628	-3.77513509186663	-1.00232478025507	6.887	287.903
cham1312	-4.15774471986994	-1.28072233770841	-0.0964193906141402	13.438	144.745
chib1249	-4.02643270896717	-3.95490060784253	-0.547545184988877	9.75	276.58
chig1238	-0.463568037685945	-0.73072504525898	1.85551729133695	-1.044	29.912
chot1239	-1.79927930200563	0.065861899794936	-2.75427569789189	24.372	94.241
chuv1255	4.74593419540033	-0.750216603270487	-0.898422825520506	55.487	47.163
czec1258	3.18827889570002	-0.986153513080782	0.0916139348544114	49.873	15.104
dani1285	2.86331980025767	-2.10539859231245	0.714468834217655	54.866	9.363
dhan1264	-2.72796599806132	2.4268163925987	-2.56375752741847	20.772	73.742
drav1251	-1.90020256752482	3.19359459373817	-1.72359911886806	21.53	79.92
dubl1239	-2.28547858540383	3.32387655356428	-1.48258236449579	21.516	73.218
dutc1256	2.60323264877044	-1.89752758544579	1.19319749131212	52	5
erzy1239	4.47071277992181	-0.577147190224921	-0.580172071115562	52.855	45.39
eski1264	5.80079026751319	-2.46187883575211	-0.0290153111704585	63.69	189.52
fiji1243	-4.17588345408876	-3.60149986519087	-0.610012059889409	-18	178.33
finn1318	4.72046141421018	-1.17404995648745	-0.185710041363499	64.763	25.558
gami1242	-2.63013205935475	2.80534641823907	-2.23557928025661	21.07	73.684
gand1255	-1.67568030023964	0.11232345129156	1.95042929084359	0.669	32.152
guja1252	-0.963228582147459	4.11987396590576	-0.473606553663514	22.687	71.096
gusi1247	-1.88345115627454	-1.31970234217181	1.58676881772551	-0.789	34.768
hadz1240	-0.766617652892242	1.46304853536529	0.972620927323032	-3.83	35.05
hakk1236	-0.38514525149861	-0.126492969571803	-1.37578050436892	25	116
haus1257	-1.59916219175066	2.91240439294271	-0.0492877952843482	11.151	8.78
hebr1245	1.22277322100034	2.19266204587763	1.45776298555869	31.106	35.018
hind1269	-1.08299688793894	3.7429157008828	-1.24433841793687	25	77
hung1274	2.85493732960268	-0.292447492261534	0.333059529913845	46.907	19.656
indo1319	1.10100461475852	2.51399896140606	0.741291923805906	34	71.55
ital1282	1.69257044289093	-0.876592976553736	1.09260253132015	43.046	12.649
japo1237	1.57713908567644	-0.848144570768483	-1.426041518223	37	140
jiva1245	-4.01750223975544	-4.09064266008563	1.0036804588891	-3.45	281.81
jola1263	-2.25968992613094	3.06875504142403	-0.507958999907501	12.758	-15.735
kaba1278	3.24837221125207	-0.777804682609347	-0.211920379405421	43.508	43.392
kala1399	6.78150172191793	-3.15698473787765	0.246188378996107	69.376	307.136
kara1465	3.5845048034982	-1.4682140156962	-0.124462709989053	43.565	42.261
kaya1330	-2.6304665086445	0.91412002210266	0.050409368119177	-7.774	308.326
khan1278	-5.00789248870383	-1.62858702236447	-0.395927009046595	4.709	7.444
kiku1240	0.195638524946072	-1.75836375359839	1.23775326319969	-0.29	36.719
kili1267	-5.79346525548349	-4.59967234117403	0.0718194429805448	-8.726	151.072
komi1268	5.74826066669804	-1.54925527455794	-0.774470082840008	64.053	54.946
komi1269	5.03740089192701	-1.20302327347754	-0.838364120772325	59.66	54.796
konk1267	-1.05877148876241	2.80012541456518	0.0497263234986667	19.241	73.917
kore1280	2.0731218825021	-0.0408851003364106	-3.04197839058514	37.5	128
kore1284	2.0731218825021	-0.0408851003364106	-3.04197839058514	37.5	128
krah1246	-2.96022171142115	1.14611677819782	1.00522980311316	-8.012	312.423
krio1252	-0.887663851351702	2.96721890502471	-0.026987902105719	-18.135	137.669
kurd1259	1.75668326046266	1.69781349968783	0.154726345883377	35.65	45.81
laca1243	-3.37537890750008	-0.351086659660627	-0.850463168803715	17.021	268.577
latv1249	3.70389143796447	-1.4057323824349	-0.110401124139398	56.826	24.309
liby1240	0.525721588170876	4.49084443154473	0.516266799545299	22.003	15.001
ling1263	-3.26562810472124	-1.01014795914796	1.53770580226134	1.403	19.783
lule1254	5.19339343491226	-2.84349800214344	-0.0801160928089463	67.276	17.806
luok1236	-1.70355033949078	-0.0025150711542204	1.65070921300417	-0.933	34.49
maha1287	0.738488446403478	-1.08539966654244	-1.40370160332661	31.009	77.532
mand1415	2.44098236765932	1.61338753490582	-2.74872160553409	40.021	116.228
