glottocode,UVB,daltonism,n_colors,exists_blue,subsistence,stage,L1,macroarea,macroarea2,longitude,latitude,dist2water,dist2ocean,dist2lakes,dist2rivers,climate_PC1,climate_PC2,altitude,log_popSize,glottocode_family,latitude_family,longitude_family,macro_family,genetic_incomplete,genetic_full,V1_add_2,V2_add_2,V1_add_3,V2_add_3,V3_add_3,V1_add_4,V2_add_4,V3_add_4,V4_add_4,V1_ult_2,V2_ult_2,V1_qlc_2,V2_qlc_2,V3_qlc_2,V4_qlc_2,V5_qlc_2
abua1244,30.5792887667888,2.128,5,no,AGR,999,Abua,Africa,Africa,6.61492,4.83057,4.703,26.966,9.551,4.703,2.98,0.038,18,10.127,atla1278,8.75,8.25,Niger-Congo,,Edo,-5.3838220533486,-5.22274768085968,-5.3838220533486,-5.22274768085968,-8.97328325344193,-5.3838220533486,-5.22274768085968,-8.97328325344193,0.083598608085975,-5.3838220533486,-5.22274768085968,49.8445527224501,38.6739886198153,-23.8610200239987,-2.00766946806362,-1.29664271146614
acol1236,29.2720498783455,2.6095,6,no,AGR,999,Achooli,Africa,Africa,32.5147,3.57738,50.8,1104.373,60.715,50.8,0.215,1.84,845,13.973,nilo1247,4.75,29.75,Nilo-Saharan,,Luhya,-5.3861847099829,-4.90552248427949,-5.3861847099829,-4.90552248427949,-8.26886212092236,-5.3861847099829,-4.90552248427949,-8.26886212092236,3.04115407360594,-5.3861847099829,-4.90552248427949,28.4969987975522,2.78826952584416,5.73267865885399,3.62512335286423,6.94334564542982
ainu1240,15.8081696878147,1.176,4,no,HG,3a,Ainu,Eurasia,Asia,142.46167,43.633654,7.681,73.651,7.681,16.491,-6.067,-3.001,301,2.303,ainu1252,43.633654,142.46167,Ainu,,Hezhe,-7.98244699833907,-2.84138355931421,-7.98244699833907,-2.84138355931421,-7.56181589159715,-7.98244699833907,-2.84138355931421,-7.56181589159715,0.943488641634578,-7.98244699833907,-2.84138355931421,-14.6141227938359,-5.66645387143858,-1.63842146298085,17.3088521501464,-4.12467303200133
alba1267,17.1322823936696,7.403,11,yes,AGR,7,Albanian,Eurasia,Europe,20,41,9.703,16.546,15.604,9.703,-0.6885643,1.8706146,299,22.838459165,indo1319,34,71.55,Indo-European,Europeans..Mixed,Europeans..Mixed,-5.40379621626728,-5.12617090188779,-5.40379621626728,-5.12617090188779,-8.83093146623903,-5.40379621626728,-5.12617090188779,-8.83093146623903,0.399062016509259,-5.40379621626728,-5.12617090188779,-34.4482980008249,4.30358998984064,-0.040811896364019,16.3298599801801,-13.4163758397808
alge1239,18.4343272171254,6.56,11,yes,AGR,7,"Arabic, Algerian Spoken",Africa,Africa,3.23033,35.4208,29.964,136.523,29.964,76.819,-4.076,0.098,749,17.074,afro1255,8.67,8.08,Afro-Asiatic,Arabs,Arabs,-5.4068069964657,-5.11429668900462,-5.4068069964657,-5.11429668900462,-8.86969123488226,-5.4068069964657,-5.11429668900462,-8.86969123488226,0.428902643230129,-5.4068069964657,-5.11429668900462,57.5389296164199,15.2916744807784,109.081503759868,-12.1576974070075,-12.2765033541972
amha1245,28.7994152046784,3.2,10,yes,AGR,7,Amharic,Africa,Africa,39.543456,11.708182,28.645,299.28,28.645,117.911,-2.721,-0.496,2750,16.888,afro1255,8.67,8.08,Afro-Asiatic,,Somali,111.824003771288,-79.1434542288276,111.824003771288,-79.1434542288276,-37.4248853355824,111.824003771288,-79.1434542288276,-37.4248853355824,22.853389790145,111.824003771288,-79.1434542288276,47.8684918607627,11.2607566723081,76.2180074914621,-7.32595706684235,-6.56441312719911
anga1288,24.9571369636964,0,12,no,AGR,7,"Naga, Angami",Eurasia,Asia,93.8668,25.6841,71.46,397.528,71.46,115.828,-0.797,0.293,718,11.791,sino1245,26.1,94.75,Sino-Tibetan,Indian..Mixed,Indian..Mixed,-6.78995701088452,-3.82055379285472,-6.78995701088452,-3.82055379285472,-10.7070364897371,-6.78995701088452,-3.82055379285472,-10.7070364897371,-4.42387463408364,-6.78995701088452,-3.82055379285472,15.8754427866853,-44.6784210112089,-14.1729347228776,-17.656207040498,-1.15689557051827
mesc1238,28.0100694444444,2.5,7,no,HG,999,Apache ,North America,North America,254.434,33.1291,23.909,734.641,23.909,137.956,-5.154,-1.006,2479,7.313,atha1245,53.75,236.5,Na-Dene,Amerindians,Amerindians,-5.41888238164458,-5.11805569427908,-5.41888238164458,-5.11805569427908,-8.86982511342129,-5.41888238164458,-5.11805569427908,-8.86982511342129,0.421655244953248,-5.41888238164458,-5.11805569427908,12.623228610114,-23.9007966018802,-4.94909460321357,19.0220382836566,42.8056902013708
stan1318,21.1204154006644,5.3515,11,yes,AGR,7,Standard Arabic,Eurasia,Asia,43.8525,27.9625,158.357,390.738,158.357,405.809,-3.317,3.485,620,19.143,afro1255,8.67,8.08,Afro-Asiatic,Arabs,Arabs,-5.4068069964657,-5.11429668900462,-5.4068069964657,-5.11429668900462,-8.86969123488226,-5.4068069964657,-5.11429668900462,-8.86969123488226,0.428902643230129,-5.4068069964657,-5.11429668900462,56.7068144249382,14.9486195540293,106.296714260943,-11.7527589984767,-11.8014917676301
nucl1235,16.9180791818438,5.43,7,yes,AGR,5,Armenian,Eurasia,Asia,45,40,21.818,337.419,21.818,30.967,-6.902,-2.717,2527,14.96,indo1319,34,71.55,Indo-European,,Turks,-5.41284051950696,-5.1197541748687,-5.41284051950696,-5.1197541748687,-8.87142758735889,-5.41284051950696,-5.1197541748687,-8.87142758735889,0.420570725680425,-5.41284051950696,-5.1197541748687,-34.4482980008249,4.30358998984064,-0.040811896364021,16.3298599801801,-13.4163758397808
assa1263,24.1556006493506,1.406,11,yes,AGR,7,Assamese,Eurasia,Asia,91.2932,26.0876,3.115,389.574,36.306,3.115,0.395,0.624,45,16.365,indo1319,34,71.55,Indo-European,Kachari,Kachari,-5.08309586071399,-5.32844901606476,-5.08309586071399,-5.32844901606476,-8.84978124546741,-5.08309586071399,-5.32844901606476,-8.84978124546741,0.427094901178283,-5.08309586071399,-5.32844901606476,-66.9492277575773,27.484034007737,4.6683285018397,-31.3794811141443,13.480261508567
assy1241,17.7126612103175,6,9,yes,AGR,999,Assyrian Neo-Aramaic,Eurasia,Asia,43,36.75,10.432,519.411,10.432,15.132,-3.791,2.288,481,10.309,afro1255,8.67,8.08,Afro-Asiatic,,Iraqi,-8.42484326415391,-2.15529130065091,-8.42484326415391,-2.15529130065091,-12.5573612211785,-8.42484326415391,-2.15529130065091,-12.5573612211785,1.25040834199839,-8.42484326415391,-2.15529130065091,51.710718991224,12.8666645731267,89.324884197454,-9.25834544928442,-8.85340622671306
awng1244,27.6003925120773,3.03,3,no,AGR,2,Agaw,Africa,Africa,36.6916,10.9819,28.432,553.617,28.432,59.165,-0.819,-0.58,2086,13.1,afro1255,8.67,8.08,Afro-Asiatic,,Somali,111.824003771288,-79.1434542288276,111.824003771288,-79.1434542288276,-37.4248853355824,111.824003771288,-79.1434542288276,-37.4248853355824,22.853389790145,111.824003771288,-79.1434542288276,34.8949134447615,5.92441485869006,32.9463483385036,-1.05405659463577,0.772959668177843
cent2142,27.0284090909091,5.66,7,yes,AGR,999,Aymara,South America,South America,291.5,-17,23.591,239.069,23.591,31.568,-5.483,-2.279,4175,14.556,ayma1253,-17,291.5,Aymaran,Peruvian,Peruvian,7.33748978141761,-8.78301747092482,7.33748978141761,-8.78301747092482,57.1747146071525,7.33748978141761,-8.78301747092482,57.1747146071525,30.0640790966415,7.33748978141761,-8.78301747092482,12.3126679820573,-22.9065210657311,-4.70409940846035,17.5606868775191,37.9085348602333
kara1465,14.9972694773176,4.2,8,yes,AGR,6,Balkar,Eurasia,Asia,42.2606,43.565,28.738,117.07,28.738,37.561,-6.105,-3.631,2039,12.628,turk1311,56,125,Altaic,,Khanty,-5.35093484879956,-5.15920943259811,-5.35093484879956,-5.15920943259811,-8.59286572629145,-5.35093484879956,-5.15920943259811,-8.59286572629145,0.275970306263883,-5.35093484879956,-5.15920943259811,-16.9771949724005,-7.28027503147327,-2.19892653395586,26.2887305048095,-6.92593149210204
basq1248,13.4749877089479,4.3,11,yes,AGR,7,Basque,Eurasia,Europe,-1.32,43.28,7.204,32.474,17.582,7.204,-2.3069876,-1.53227484,214,19.51653107,basq1248,43.28,-1.32,Basque,Basque,Basque,-5.43976465514702,-5.09943380870561,-5.43976465514702,-5.09943380870561,-8.85801374059876,-5.43976465514702,-5.09943380870561,-8.85801374059876,0.426899827779528,-5.43976465514702,-5.09943380870561,-14.6141227938359,-5.66645387143858,-1.63842146298085,17.3088521501464,-4.12467303200133
bela1254,10.6214752906977,8.7,7,yes,AGR,999,Belarusan,Eurasia,Europe,25.6038,53.2307,5.852,347.859,5.852,41.203,-5.908,-2.889,203,15.721,indo1319,34,71.55,Indo-European,Russians,Russians,-5.4122522858755,-5.11860269760556,-5.4122522858755,-5.11860269760556,-8.86654519410432,-5.4122522858755,-5.11860269760556,-8.86654519410432,0.419785401968791,-5.4122522858755,-5.11860269760556,-45.9528958696601,7.13002876864546,-0.074853293292529,41.417869059918,-46.9176119197581
krio1252,25.7478373702422,2.33,11,yes,AGR,7,Kriol,Australia,Australia,137.669,-18.135,35.471,147.043,77.431,35.471,-1.343,3.027,203,8.343,indo1319,34,71.55,Indo-European,Afro.Caribbeans,Afro.Caribbeans,-5.41270713683082,-5.12617057531851,-5.41270713683082,-5.12617057531851,-8.87201893741464,-5.41270713683082,-5.12617057531851,-8.87201893741464,0.421035038757748,-5.41270713683082,-5.12617057531851,-42.7067367860357,6.19374408648769,-0.062751678162245,30.468513068268,-29.5264951070607
bhil1251,27.062783446712,0.7,7,no,AGR,999,Bhili,Eurasia,Asia,73.9592,20.85,9.117,109.085,9.117,16.195,-1.23,2.786,710,15.012,indo1319,34,71.55,Indo-European,Indian..Mixed,Indian..Mixed,-6.78995701088452,-3.82055379285472,-6.78995701088452,-3.82055379285472,-10.7070364897371,-6.78995701088452,-3.82055379285472,-10.7070364897371,-4.42387463408364,-6.78995701088452,-3.82055379285472,-81.9092178516967,38.6129752704506,6.9697000237474,-55.856747788553,27.806539577065
biet1238,25.4253237612613,4.94,4,no,AGR,3a,Biete,Eurasia,Asia,92.94342,24.273507,48.459,215.605,57.919,48.459,0.34,-0.456,301,9.852,sino1245,26.1,94.75,Sino-Tibetan,Indian..Mixed,Indian..Mixed,-6.78995701088452,-3.82055379285472,-6.78995701088452,-3.82055379285472,-10.7070364897371,-6.78995701088452,-3.82055379285472,-10.7070364897371,-4.42387463408364,-6.78995701088452,-3.82055379285472,16.0986086485636,-45.6769530642225,-14.5369111026157,-18.2626452761771,-1.20387407086322
bulg1262,14.7011519607843,6.45,11,yes,AGR,7,Bulgarian,Eurasia,Europe,25.047,43.3646,2.946,216.105,2.946,29.653,-4.994,-1.261,97,15.549,indo1319,34,71.55,Indo-European,Europeans..Mixed,Europeans..Mixed,-5.40379621626728,-5.12617090188779,-5.40379621626728,-5.12617090188779,-8.83093146623903,-5.40379621626728,-5.12617090188779,-8.83093146623903,0.399062016509259,-5.40379621626728,-5.12617090188779,-45.7366831398171,7.07671039936713,-0.074210180085407,40.9421084686348,-46.2806066972959
yuec1235,26.4918055555556,4,11,yes,AGR,7,Cantonese,Eurasia,Asia,113,23,4.435,86.57,4.435,4.435,-0.728,0.25,4,17.767,sino1245,26.1,94.75,Sino-Tibetan,Han,Han,-5.4130393249985,-5.12010419726425,-5.4130393249985,-5.12010419726425,-8.87229331210319,-5.4130393249985,-5.12010419726425,-8.87229331210319,0.420450275247845,-5.4130393249985,-5.12010419726425,17.1773822431423,-50.8621376188819,-16.4845534276135,-21.7842310903068,-1.49435848406598
cham1312,28.7883421985816,3.252,6,no,AGR,5,Chamorros,Papunesia,Papunesia,144.74474,13.438011,3.397,3.397,7.673,1815.718,2.962,-0.244,41,11.043,aust1307,23.76,120.98,Austronesian,Micronesians,Micronesians,-4.72832334202346,-5.57674005294725,-4.72832334202346,-5.57674005294725,-5.82356072731394,-4.72832334202346,-5.57674005294725,-5.82356072731394,-1.12026204627273,-4.72832334202346,-5.57674005294725,17.046741787055,-53.9938064743995,-18.6241415496702,-37.8686748086057,-24.7989498324293
mand1415,18.6336713510635,5.655,10,yes,AGR,7,"Chinese, Mandarin/Mandarin",Eurasia,Asia,116.228,40.0209,3.91,180.185,3.91,3.91,-5.508,0.228,54,20.549,sino1245,26.1,94.75,Sino-Tibetan,Han,Han,-5.4130393249985,-5.12010419726425,-5.4130393249985,-5.12010419726425,-8.87229331210319,-5.4130393249985,-5.12010419726425,-8.87229331210319,0.420450275247845,-5.4130393249985,-5.12010419726425,16.6197272979133,-48.2715805063333,-15.5248720526781,-20.1110330590972,-1.35997423869774
chot1239,25.7007519315673,6.5,4,no,AGR,3a,"Naga, Chothe",Eurasia,Asia,94.2408,24.3722,43.17,309.832,43.17,46.083,-0.378,-0.233,819,8.189,sino1245,26.1,94.75,Sino-Tibetan,Indian..Mixed,Indian..Mixed,-6.78995701088452,-3.82055379285472,-6.78995701088452,-3.82055379285472,-10.7070364897371,-6.78995701088452,-3.82055379285472,-10.7070364897371,-4.42387463408364,-6.78995701088452,-3.82055379285472,16.0986086485636,-45.6769530642225,-14.5369111026157,-18.2626452761771,-1.20387407086322
chuv1255,9.99212693798449,5.155,6,yes,AGR,5,Chuvash,Eurasia,Asia,47.163,55.487,4.901,953.456,4.901,29.278,-7.297,-2.809,148,13.858,turk1311,56,125,Altaic,Chuvash,Chuvash,-5.41199425822074,-5.12079659751567,-5.41199425822074,-5.12079659751567,-8.8675557368379,-5.41199425822074,-5.12079659751567,-8.8675557368379,0.41824948516864,-5.41199425822074,-5.12079659751567,-15.5655330000936,-6.32068822926439,-1.86627686488956,20.985743717217,-5.27767350246041
czec1258,11.1652126099707,10.5,11,yes,AGR,7,Czech,Eurasia,Europe,15.10437,49.873398,3.009,411.013,3.009,7.641,-5.399,-2.655,424,16.04,indo1319,34,71.55,Indo-European,Europeans..Mixed,Europeans..Mixed,-5.40379621626728,-5.12617090188779,-5.40379621626728,-5.12617090188779,-8.83093146623903,-5.40379621626728,-5.12617090188779,-8.83093146623903,0.399062016509259,-5.40379621626728,-5.12617090188779,-45.125206229469,6.92751496391111,-0.072418266232995,39.6310303602676,-44.5390387552503
dani1285,8.9476600684262,6.36,9,yes,AGR,7,Danish,Eurasia,Europe,9.36284,54.8655,1.446,14.444,1.446,33.881,-4.736,-3.61,41,15.511,indo1319,34,71.55,Indo-European,Danes,Danes,-5.4103846887628,-5.12179957272529,-5.4103846887628,-5.12179957272529,-8.86035467840408,-5.4103846887628,-5.12179957272529,-8.86035467840408,0.414778647410042,-5.4103846887628,-5.12179957272529,-40.7189820715269,5.73785829511864,-0.057455593474699,27.0480162044815,-25.6227306587851
dubl1239,27.2669507575758,2.75,5,no,AGR,4,Dubli,Eurasia,Asia,73.218,21.5161,11.784,50.134,11.784,20.008,-0.164,3.668,56,12.437,indo1319,34,71.55,Indo-European,Indian..Mixed,Indian..Mixed,-6.78995701088452,-3.82055379285472,-6.78995701088452,-3.82055379285472,-10.7070364897371,-6.78995701088452,-3.82055379285472,-10.7070364897371,-4.42387463408364,-6.78995701088452,-3.82055379285472,-82.9301422802142,39.3699094222507,7.12602003401885,-57.5137239468459,28.7740224504193
dutc1256,10.4004057655039,4.95,11,yes,AGR,7,Dutch,Eurasia,Europe,5,52,4.911,52.265,4.911,4.911,-4.476,-3.253,0,16.613,indo1319,34,71.55,Indo-European,Europeans..Mixed,Europeans..Mixed,-5.40379621626728,-5.12617090188779,-5.40379621626728,-5.12617090188779,-8.83093146623903,-5.40379621626728,-5.12617090188779,-8.83093146623903,0.399062016509259,-5.40379621626728,-5.12617090188779,-41.9351775649899,6.01728362374645,-0.060704036205888,29.1499603938628,-28.0249088916624
stan1293,19.0857958229762,5.09207142857143,11,yes,AGR,7,English,Eurasia,Europe,-1,53,1.405,65.072,1.405,1.405,-4.138,-2.7,57,17.879,indo1319,34,71.55,Indo-European,British,British,-5.41273849141978,-5.11752841430812,-5.41273849141978,-5.11752841430812,-8.86509519835608,-5.41273849141978,-5.11752841430812,-8.86509519835608,0.45117717529112,-5.41273849141978,-5.11752841430812,-42.7067367860357,6.19374408648769,-0.062751678162243,30.468513068268,-29.5264951070607
erzy1239,10.4345385174419,7.77,6,yes,AGR,5,Erzya,Eurasia,Europe,45.3901,52.8548,2.901,734.897,2.901,2.901,-6.958,-2.417,218,12.975,ural1272,68,30,Uralic,,Chuvash,-5.41199425822074,-5.12079659751567,-5.41199425822074,-5.12079659751567,-8.8675557368379,-5.41199425822074,-5.12079659751567,-8.8675557368379,0.41824948516864,-5.41199425822074,-5.12079659751567,-18.3982969268709,-8.41836252644253,-2.62392965395907,34.7721846015006,-10.1522277837618
peno1244,25.9638339328537,7.042,5,no,AGR,4,"Mixtec, Peñoles",North America,North America,262.9899,17.0671,40.803,103.633,40.803,131.842,-2.329,0.475,2132,8.613,otom1299,17.67,262.58,Oto-Manguean,Mexicans,Mexicans,-47.1344401652466,-105.724491183439,-47.1344401652466,-105.724491183439,4.63858804744769,-47.1344401652466,-105.724491183439,4.63858804744769,31.6541685034461,-47.1344401652466,-105.724491183439,11.8507430509717,-21.5631506708374,-4.39170032032374,16.1408295055302,35.1094102851517
west2369,19.219442346425,2.62866666666667,11,yes,AGR,7,"Farsi, Western",Eurasia,Asia,55.1586,28.6593,115.185,187.633,115.185,200.814,-5.124,1.151,1951,17.622,indo1319,34,71.55,Indo-European,Iranian,Iranian,-5.4012849103591,-5.02717725720525,-5.4012849103591,-5.02717725720525,-8.61028827064904,-5.4012849103591,-5.02717725720525,-8.61028827064904,1.55192811553472,-5.4012849103591,-5.02717725720525,-54.1861365769665,18.080233534267,2.73193383686456,-11.0319312290157,1.68670438785339
fiji1243,24.4777199074074,0.4,5,no,AGR,999,Fijian,Papunesia,Papunesia,178.33,-18,12.132,21.759,28.27,12.132,2.892,-2.283,172,12.707,aust1307,23.76,120.98,Austronesian,Micronesians,Micronesians,-4.72832334202346,-5.57674005294725,-4.72832334202346,-5.57674005294725,-5.82356072731394,-4.72832334202346,-5.57674005294725,-5.82356072731394,-1.12026204627273,-4.72832334202346,-5.57674005294725,20.094517670341,-71.1744165656064,-25.7761718108279,-60.2382048223081,-44.2191001260186
