abua1244,Abua
acol1236,Acoli
ainu1240,Ainu_
alba1267,Albanian
alge1239,Algerian_Arabic
amha1245,Amharic
anga1288,Angami_Naga
assa1263,Assamese
assy1241,Assyrian_Neo-Aramaic
awng1244,Awngi
basq1248,Basque
bela1254,Belarusian
bhil1251,Bhili
biet1238,Biete
bulg1262,Bulgarian
bund1253,Bundeli
carn1240,Car_Nicobarese
cent2142,Central_Aymara
cent2132,Central_Nahuatl
cent2150,Central_Tunebo
cent2127,Central_Yupik
cham1312,Chamorro
chig1238,Chiga
chot1239,Chothe_Naga
chuv1255,Chuvash
czec1258,Czech
dani1285,Danish
dhan1264,Dhanki
dubl1239,Dubli
dutc1256,Dutch
east1436,Eastern_Pahari
erzy1239,Erzya
finn1318,Finnish
gami1242,Gamit
gand1255,Ganda
guja1252,Gujarati
gusi1247,Gusii
hadz1240,Hadza
hakk1236,Hakka_Chinese
haus1257,Hausa
hebr1245,Hebrew
hind1269,Hindi
hung1274,Hungarian
ital1282,Italian
jola1263,Jola-Fonyi
kaba1278,Kabardian
kain1272,Kaingang
kala1399,Kalaallisut
kara1465,Karachay-Balkar
kaya1330,Kayapó
khan1278,Khana
kili1267,Kilivila
komi1269,Komi-Permyak
komi1268,Komi-Zyrian
konk1267,Konkani
kore1280,Korean
krah1246,Krahô
krio1252,Kriol
kurd1259,Kurdish
laca1243,Lacandon
latv1249,Latvian
liby1240,Libyan_Arabic
ling1263,Lingala
lule1254,Lule_Sami
luok1236,Luo_
mace1250,Macedonian
maha1287,Mahasu_Pahari
mand1415,Mandarin_Chinese
manx1243,Manx
maor1246,Maori
mara1378,Marathi
mari1278,Mari
mesc1238,Mescalero-Chiricahua_Apache
meso1252,Mesopotamian_Arabic
minn1241,Min_Nan_Chinese
nucl1235,Modern_Armenian
mode1248,Modern_Greek_
moks1248,Moksha
moro1292,Moroccan_Arabic
muyu1244,Muyuw
nama1264,Nama_
nava1243,Navajo
nene1249,Nenets
newa1246,Newari
nhen1239,Nhengatu
nort2945,Northwest_Alaska_Inupiatun
norw1258,Norwegian
nucl1643,Nuclear_Japanese
nucl1301,Nuclear_Turkish
nucl1347,Nuclear_Wolof
nyan1307,Nyankole
nyun1247,Nyunga
pano1254,Panoan_Katukína
pare1266,Parenga
peno1244,Peñoles_Mixtec
poli1260,Polish
pott1240,Pottangi_Ollar_Gadaba
pula1263,Pulaar
rian1262,Riang_
rund1242,Rundi
russ1263,Russian
samo1305,Samoan
scot1245,Scottish_Gaelic
sere1260,Serer
shua1257,Shuar
sici1248,Sicilian
sind1272,Sindhi
sout3123,South_Levantine_Arabic
sout2807,Southern_Sotho
stan1318,Standard_Arabic
stan1293,Standard_English
stan1290,Standard_French
stan1295,Standard_German
stan1288,Standard_Spanish
swis1247,Swiss_German
taga1270,Tagalog
tata1255,Tatar
telu1262,Telugu
teso1249,Teso
thai1261,Thai
ticu1245,Ticuna
tigr1270,Tigre
tong1325,Tonga_
tswa1253,Tswana
tuni1259,Tunisian_Arabic
tzel1254,Tzeltal
tzot1259,Tzotzil
ukra1253,Ukrainian
urdu1245,Urdu
vasa1239,Vasavi
vend1245,Venda
viet1252,Vietnamese
wall1257,Wallisian
wels1247,Welsh
west2369,Western_Farsi
west2386,Western_Panjabi
xava1240,Xav�nte
xhos1239,Xhosa
yano1261,Yanomamö
yoru1245,Yoruba
yuca1254,Yucatec_Maya
yucu1253,Yucuna
yuec1235,Yue_Chinese
zulu1248,Zulu
fiji1243,Fijian
kiku1240,Kikuyu
