"","Parenga","Car_Nicobarese","Vietnamese","Fijian","Wallisian","Samoan","Maori","Tonga_","Kilivila","Muyuw","Chamorro","Tagalog","Pottangi_Ollar_Gadaba","Telugu","Riang_","Newari","Biete","Chothe_Naga","Angami_Naga","Mandarin_Chinese","Hakka_Chinese","Min_Nan_Chinese","Yue_Chinese","Thai","Nyunga","Hausa","Awngi","Mesopotamian_Arabic","South_Levantine_Arabic","Algerian_Arabic","Libyan_Arabic","Moroccan_Arabic","Tunisian_Arabic","Standard_Arabic","Assyrian_Neo-Aramaic","Hebrew","Amharic","Tigre","Jola-Fonyi","Pulaar","Serer","Nuclear_Wolof","Lingala","Kikuyu","Gusii","Ganda","Chiga","Nyankole","Rundi","Xhosa","Zulu","Southern_Sotho","Tswana","Venda","Yoruba","Abua","Khana","Hadza","Nama_","Teso","Acoli","Luo_","Kabardian","Ainu_","Basque","Albanian","Modern_Armenian","Latvian","Belarusian","Russian","Ukrainian","Bulgarian","Macedonian","Czech","Polish","Welsh","Manx","Scottish_Gaelic","Danish","Norwegian","Standard_German","Dutch","Swiss_German","Kriol","Standard_English","Modern_Greek_","Eastern_Pahari","Mahasu_Pahari","Bhili","Gamit","Dubli","Gujarati","Vasavi","Dhanki","Bundeli","Hindi","Urdu","Assamese","Western_Panjabi","Sindhi","Konkani","Marathi","Kurdish","Western_Farsi","Italian","Sicilian","Standard_French","Standard_Spanish","Nuclear_Japanese","Korean","Chuvash","Tatar","Karachay-Balkar","Nuclear_Turkish","Finnish","Hungarian","Mari","Erzya","Moksha","Komi-Zyrian","Komi-Permyak","Lule_Sami","Nenets","Yucuna","Central_Aymara","Central_Tunebo","Shuar","Xavánte","Kaingang","Kayapó","Krahô","Panoan_Katukína","Ticuna","Nhengatu","Yanomamö","Mescalero-Chiricahua_Apache","Navajo","Northwest_Alaska_Inupiatun","Kalaallisut","Central_Yupik","Tzeltal","Tzotzil","Lacandon","Yucatec_Maya","Peñoles_Mixtec","Central_Nahuatl"
"Parenga",0,150.588235294118,150.588235294118,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Car_Nicobarese",150.588235294118,0,150.588235294118,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Vietnamese",150.588235294118,150.588235294118,0,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Fijian",188.235294117647,188.235294117647,188.235294117647,0,94.1176470588235,94.1176470588234,94.1176470588235,94.1176470588237,117.647058823529,117.647058823529,152.941176470588,152.941176470588,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Wallisian",188.235294117647,188.235294117647,188.235294117647,94.1176470588235,0,70.5882352941175,70.5882352941176,82.3529411764707,117.647058823529,117.647058823529,152.941176470588,152.941176470588,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Samoan",188.235294117647,188.235294117647,188.235294117647,94.1176470588234,70.5882352941175,0,70.5882352941175,82.3529411764706,117.647058823529,117.647058823529,152.941176470588,152.941176470588,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Maori",188.235294117647,188.235294117647,188.235294117647,94.1176470588235,70.5882352941176,70.5882352941175,0,82.3529411764707,117.647058823529,117.647058823529,152.941176470588,152.941176470588,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Tonga_",188.235294117647,188.235294117647,188.235294117647,94.1176470588237,82.3529411764707,82.3529411764706,82.3529411764707,0,117.64705882353,117.64705882353,152.941176470588,152.941176470588,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Kilivila",188.235294117647,188.235294117647,188.235294117647,117.647058823529,117.647058823529,117.647058823529,117.647058823529,117.64705882353,0,16.8067226890756,152.941176470588,152.941176470588,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"Muyuw",188.235294117647,188.235294117647,188.235294117647,117.647058823529,117.647058823529,117.647058823529,117.647058823529,117.64705882353,16.8067226890756,0,152.941176470588,152.941176470588,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,188.235294117647,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
